name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
Pierian-Data/Complete-Python-3-Bootcamp,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,2018-02-12T19:30:10Z,2025-06-24T04:54:16Z,Jupyter Notebook,12,0,369,225,60.98
tastejs/todomvc,https://github.com/tastejs/todomvc,2011-06-03T19:56:33Z,2025-06-23T17:35:04Z,JavaScript,760,6,784,661,84.31
dragonflydb/dragonfly,https://github.com/dragonflydb/dragonfly,2021-12-11T10:00:42Z,2025-08-20T11:23:31Z,C++,3313,107,1843,1577,85.57
StevenBlack/hosts,https://github.com/StevenBlack/hosts,2012-04-12T20:22:50Z,2025-08-19T14:18:14Z,Python,486,780,2112,1999,94.65
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,2025-08-05T02:02:55Z,Java,1076,48,2500,2300,92.0
wesbos/JavaScript30,https://github.com/wesbos/JavaScript30,2016-12-07T19:15:31Z,2025-01-07T12:29:05Z,HTML,153,0,0,0,0.0
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,2014-09-29T08:39:34Z,2024-07-25T10:57:29Z,C,11,0,180,105,58.33
Ebazhanov/linkedin-skill-assessments-quizzes,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,2019-07-13T19:52:56Z,2025-05-22T16:17:12Z,N/A,5638,1,891,807,90.57
statelyai/xstate,https://github.com/statelyai/xstate,2015-09-14T15:04:15Z,2025-08-19T13:16:04Z,TypeScript,1973,441,1396,1288,92.26
kenwheeler/slick,https://github.com/kenwheeler/slick,2014-03-24T02:10:05Z,2025-07-26T22:05:56Z,JavaScript,258,48,3620,2421,66.88
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,2016-10-16T14:48:28Z,2025-08-20T03:13:12Z,Python,1131,128,6271,6261,99.84
feder-cr/Jobs_Applier_AI_Agent_AIHawk,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,2024-08-04T12:15:06Z,2025-05-28T13:24:12Z,Python,185,0,674,663,98.37
ZuzooVn/machine-learning-for-software-engineers,https://github.com/ZuzooVn/machine-learning-for-software-engineers,2016-10-09T21:20:25Z,2024-06-11T04:49:29Z,N/A,60,0,26,9,34.62
grafana/k6,https://github.com/grafana/k6,2016-03-21T15:30:24Z,2025-08-20T11:43:14Z,Go,2157,77,2390,1671,69.92
